CONTAINER_NO,VESSEL,MCHN_ID,MCHN_TP_CD,JOB_TYPE,FULL_EMPTY,BLOCK_BAY,JOB_END_DT
container53,ship0,GC105,GC,LD-QUAYSIDE,F,1B-51,2018-01-31 16:59
container53,ship0,TC221,TC,LD-YARDSIDE,F,1B-51,2018-01-31 16:52
container53,ship0,YT544,YT,LD-MOVE,F,1B-51,2018-01-31 16:56
container54,ship0,GC101,QC,DS-QUAYSIDE,M,2M-75,2018-01-31 10:07
container54,ship0,TH312,TH,DS-YARDSIDE,M,2M-75,2018-01-31 10:13
container54,ship0,YT521,YT,DS-MOVE,M,2M-75,2018-01-31 10:11
container55,ship0,GC103,QC,DS-QUAYSIDE,F,3B-43,2018-01-31 11:02
container55,ship0,TC226,TC,DS-YARDSIDE,F,3B-43,2018-01-31 11:25
container55,ship0,YT511,YT,DS-MOVE,F,3B-43,2018-01-31 11:23
container56,ship0,GC103,QC,DS-QUAYSIDE,F,1G-51,2018-01-31 11:46
container56,ship0,TC271,TC,DS-YARDSIDE,F,1G-51,2018-01-31 12:12
container56,ship0,YT522,YT,DS-MOVE,F,1G-51,2018-01-31 12:11
container57,ship0,GC103,QC,DS-QUAYSIDE,F,3B-43,2018-01-31 10:04
container57,ship0,TC225,TC,DS-YARDSIDE,F,3B-43,2018-01-31 10:15
container57,ship0,YT538,YT,DS-MOVE,F,3B-43,2018-01-31 10:13
container58,ship0,GC103,QC,DS-QUAYSIDE,F,2.00E-35,2018-01-31 9:27
container58,ship0,TC253,TC,DS-YARDSIDE,F,2.00E-35,2018-01-31 9:35
container58,ship0,YT536,YT,DS-MOVE,F,2.00E-35,2018-01-31 9:34
container59,ship0,GC101,QC,DS-QUAYSIDE,M,2M-77,2018-01-31 4:03
container59,ship0,RS309,RS,DS-YARDSIDE,M,2M-77,2018-01-31 4:11
container59,ship0,YT513,YT,DS-MOVE,M,2M-77,2018-01-31 4:09
container60,ship0,GC101,GC,LD-QUAYSIDE,F,1A-57,2018-01-31 19:12
container60,ship0,TC211,TC,LD-YARDSIDE,F,1A-57,2018-01-31 19:00
container60,ship0,YT506,YT,LD-MOVE,F,1A-57,2018-01-31 19:10
container61,ship0,GC103,QC,DS-QUAYSIDE,F,1.00E-59,2018-01-31 11:26
container61,ship0,TC251,TC,DS-YARDSIDE,F,1.00E-59,2018-01-31 11:40
container61,ship0,YT516,YT,DS-MOVE,F,1.00E-59,2018-01-31 11:38
container62,ship0,GC102,GC,LD-QUAYSIDE,F,2D-55,2018-01-31 21:51
container62,ship0,TC244,TC,LD-YARDSIDE,F,2D-55,2018-01-31 21:39
container62,ship0,YT596,YT,LD-MOVE,F,2D-55,2018-01-31 21:48
container63,ship0,GC105,QC,DS-QUAYSIDE,F,3.00E-47,2018-01-31 10:07
container63,ship0,TC255,TC,DS-YARDSIDE,F,3.00E-47,2018-01-31 10:23
container63,ship0,YT582,YT,DS-MOVE,F,3.00E-47,2018-01-31 10:22
container64,ship0,GC103,QC,DS-QUAYSIDE,F,3D-45,2018-01-31 10:06
container64,ship0,TC246,TC,DS-YARDSIDE,F,3D-45,2018-01-31 10:21
container64,ship0,YT530,YT,DS-MOVE,F,3D-45,2018-01-31 10:20
container65,ship0,GC103,QC,DS-QUAYSIDE,F,3A-83,2018-01-31 9:46
container65,ship0,TC216,TC,DS-YARDSIDE,F,3A-83,2018-01-31 9:55
container65,ship0,YT534,YT,DS-MOVE,F,3A-83,2018-01-31 9:53
container66,ship0,GC102,QC,DS-QUAYSIDE,F,2F-46,2018-01-31 4:29
container66,ship0,TC263,TC,DS-YARDSIDE,F,2F-46,2018-01-31 4:42
container66,ship0,YT532,YT,DS-MOVE,F,2F-46,2018-01-31 4:40
container67,ship0,GC105,QC,DS-QUAYSIDE,F,3B-72,2018-01-31 9:30
container67,ship0,TC226,TC,DS-YARDSIDE,F,3B-72,2018-01-31 9:41
container67,ship0,YT512,YT,DS-MOVE,F,3B-72,2018-01-31 9:39
container68,ship0,GC107,QC,DS-QUAYSIDE,M,2F-70,2018-01-31 10:39
container68,ship0,TC264,TC,DS-YARDSIDE,M,2F-70,2018-01-31 10:45
container68,ship0,YT532,YT,DS-MOVE,M,2F-70,2018-01-31 10:43
container69,ship0,GC106,GC,LD-QUAYSIDE,F,2D-78,2018-01-31 22:32
container69,ship0,TC244,TC,LD-YARDSIDE,F,2D-78,2018-01-31 22:27
container69,ship0,YT575,YT,LD-MOVE,F,2D-78,2018-01-31 22:30
container70,ship0,GC105,QC,DS-QUAYSIDE,F,3.00E-40,2018-01-31 4:15
